number,title,user,created_at,closed_at,merged,merged_at
24640,Removed info lib handling in OpenCV initialization on Android,asmorkalov,2023-12-04 12:03:12+00:00,2023-12-08 05:57:39+00:00,True,2023-12-08 05:57:39+00:00
24639,Refreshed OpenCL sample for Android,asmorkalov,2023-12-04 08:44:19+00:00,2023-12-05 15:51:34+00:00,True,2023-12-05 15:51:34+00:00
24634,The AVVideoCodecJPEG symbol was deprecated in iOS 11.0. We may want to use AVVideoCodecTypeJPEG instead,jubinchheda,2023-12-03 11:55:23+00:00,2023-12-10 18:01:34+00:00,True,2023-12-10 18:01:34+00:00
24630,doc: typo fix,tomoaki0705,2023-12-02 04:34:33+00:00,2023-12-04 09:38:06+00:00,True,2023-12-04 09:38:05+00:00
24629,doc: add crosscompile_with_multiarch,Kumataro,2023-12-01 10:46:30+00:00,2023-12-11 18:29:44+00:00,True,2023-12-11 18:29:44+00:00
24625,Report correct open status from Bitstream,asmorkalov,2023-11-30 12:17:44+00:00,2023-11-30 13:42:02+00:00,True,2023-11-30 13:42:02+00:00
24623,CV_Assert that function exists in arithm_op,tozanski,2023-11-30 09:58:17+00:00,2023-12-15 15:04:13+00:00,False,
24622,Fixed problem with saving images in Android sample,alexlyulkov,2023-11-30 09:39:55+00:00,2023-12-04 07:00:40+00:00,True,2023-12-04 07:00:40+00:00
24619,Update README.md - Add campaign and additional resources,philnelson,2023-11-30 02:30:59+00:00,2023-11-30 07:32:54+00:00,True,2023-11-30 07:32:54+00:00
24618,Fix compilation on some 32-bit windows,vrabaud,2023-11-29 15:29:28+00:00,2023-12-01 06:10:30+00:00,True,2023-12-01 06:10:30+00:00
24616,Fix Android sample mobilenet-ssd detector,asmorkalov,2023-11-29 12:44:19+00:00,2023-11-30 12:18:26+00:00,True,2023-11-30 12:18:26+00:00
24615,G-API: Soften the argument check in infer2,smirnov-alexey,2023-11-29 12:04:46+00:00,2023-11-29 14:45:03+00:00,True,2023-11-29 14:45:03+00:00
24613,"Make default axis of softmax in onnx ""-1"" without opset option",WanliZhong,2023-11-29 06:20:54+00:00,2023-12-15 07:41:42+00:00,True,2023-12-15 07:41:42+00:00
24611,Add test for YoloX Yolo v6 and Yolo v8,Abdurrahheem,2023-11-28 17:02:15+00:00,2023-12-11 13:42:52+00:00,True,2023-12-11 13:42:52+00:00
24608,Fix comment typo in matx.hpp,spacegaier,2023-11-28 07:27:10+00:00,2023-11-28 10:41:54+00:00,True,2023-11-28 10:41:53+00:00
24607,Serialize Android samples build in SDK script to prevent raise between gradle instances,asmorkalov,2023-11-28 06:44:56+00:00,2023-11-29 07:04:26+00:00,True,2023-11-29 07:04:26+00:00
24605,Speed up ChessBoardDetector::findQuadNeighbors,MaximSmolskiy,2023-11-28 01:17:51+00:00,2023-12-11 16:11:58+00:00,True,2023-12-11 16:11:58+00:00
24604,Fix time measurement in test Calib3d_ChessboardDetector.timing,MaximSmolskiy,2023-11-27 20:45:20+00:00,2023-11-28 11:45:51+00:00,True,2023-11-28 11:45:51+00:00
24601,Fix path to ONNX Runtime include folder,TolyaTalamanov,2023-11-27 15:41:00+00:00,2023-12-15 13:21:02+00:00,True,2023-12-15 13:21:01+00:00
24600,Fixed regression in Android Tutorial2 initialization.,asmorkalov,2023-11-27 13:14:07+00:00,2023-11-28 12:50:40+00:00,True,2023-11-28 12:50:40+00:00
24599,Migrate Android Face Detection sample to DNN.,asmorkalov,2023-11-27 12:41:45+00:00,2023-11-30 14:43:26+00:00,True,2023-11-30 14:43:26+00:00
24598,Add android QR detection sample,AleksandrPanov,2023-11-26 15:32:20+00:00,2023-11-29 09:51:59+00:00,True,2023-11-29 09:51:59+00:00
24597,Fix bug in ChessBoardDetector::findQuadNeighbors,MaximSmolskiy,2023-11-26 11:15:28+00:00,2023-11-30 07:59:06+00:00,True,2023-11-30 07:59:06+00:00
24596,Add test for YOLOv8 ,Abdurrahheem,2023-11-26 08:26:43+00:00,2023-12-04 07:22:34+00:00,False,
24595,Fix typo in ChessBoardDetector::generateQuads,MaximSmolskiy,2023-11-26 07:14:32+00:00,2023-11-29 09:28:57+00:00,True,2023-11-29 09:28:57+00:00
24593,Add test for YOLOX ,Abdurrahheem,2023-11-24 16:36:49+00:00,2023-12-04 07:22:49+00:00,False,
24592,Android sample for VideoWriter,savuor,2023-11-24 16:14:19+00:00,2023-12-13 12:54:32+00:00,True,2023-12-13 12:54:32+00:00
24591,Test for YOLOX,Abdurrahheem,2023-11-24 14:30:11+00:00,2023-11-24 16:32:23+00:00,False,
24587,"DON'T MERGE, DNN: disable winograd as default",zihaomu,2023-11-24 00:06:06+00:00,2023-12-19 17:32:12+00:00,False,
24586,dnn: improve fp16 code style,zihaomu,2023-11-23 23:37:44+00:00,2023-11-23 23:57:02+00:00,False,
24584,G-API: Implement inference only mode for OV backend,TolyaTalamanov,2023-11-23 14:44:27+00:00,2023-11-29 14:40:46+00:00,True,2023-11-29 14:40:46+00:00
24582,Optimize the v_lut* functions for RISC-V Vector(RVV).,hanliutong,2023-11-23 12:16:17+00:00,2023-11-30 07:59:52+00:00,True,2023-11-30 07:59:52+00:00
24581,Fix race condition in color_lab.cpp initLabTabs().,vrabaud,2023-11-23 09:01:20+00:00,2023-11-28 12:01:41+00:00,True,2023-11-28 12:01:41+00:00
24578,Fix verify unsupported new mat depth for nonzero/minmax/lut,Kumataro,2023-11-23 02:33:13+00:00,2023-11-23 09:15:59+00:00,True,2023-11-23 09:15:59+00:00
24577,Fix graph fusion with commutative ops,dkurt,2023-11-22 17:07:52+00:00,2023-11-24 07:40:33+00:00,True,2023-11-24 07:40:33+00:00
24576,Enable GAPI VASOT in Python,AsyaPronina,2023-11-22 14:58:37+00:00,2023-12-20 12:26:02+00:00,True,2023-12-20 12:26:02+00:00
24575,Drop OpenCV Manager from samples initialization,asmorkalov,2023-11-22 10:53:33+00:00,2023-11-24 11:16:44+00:00,True,2023-11-24 11:16:44+00:00
24574,cudaMemset2D fix: Correct buffer height parameter,ajithvcoder,2023-11-22 10:36:59+00:00,2023-11-23 12:53:11+00:00,True,2023-11-23 12:53:11+00:00
24569,Add support for custom padding in DNN preprocessing,Abdurrahheem,2023-11-21 12:38:42+00:00,2023-11-28 08:54:10+00:00,True,2023-11-28 08:54:10+00:00
24566,Fix typos in calibinit.cpp,MaximSmolskiy,2023-11-21 06:36:06+00:00,2023-11-21 08:37:43+00:00,True,2023-11-21 08:37:42+00:00
24565,Change the lsx to baseline features.,CNClareChen,2023-11-21 03:57:18+00:00,2023-11-30 12:27:50+00:00,True,2023-11-30 12:27:50+00:00
24561,Port of Replace double atomic in USAC,asmorkalov,2023-11-20 12:40:11+00:00,2023-11-20 18:26:45+00:00,True,2023-11-20 18:26:45+00:00
24560,"Print warning, but not throw exceptions in cv::VideoCapture for OpenNI2",asmorkalov,2023-11-20 10:57:23+00:00,2023-11-21 12:24:27+00:00,True,2023-11-21 12:24:27+00:00
24557,fix Issue 23558,thewoz,2023-11-19 14:11:04+00:00,2023-11-19 14:12:20+00:00,False,
